,Date,Rate
0,2000-01-03,1.0155
1,2000-01-04,1.0309
2,2000-01-05,1.0335
3,2000-01-06,1.0324
4,2000-01-07,1.0294
5,2000-01-10,1.0252
6,2000-01-11,1.0322
7,2000-01-12,1.0281
8,2000-01-13,1.027
9,2000-01-14,1.0128
11,2000-01-18,1.0121
12,2000-01-19,1.0115
13,2000-01-20,1.0133
14,2000-01-21,1.01
15,2000-01-24,1.0019
16,2000-01-25,1.0041
17,2000-01-26,1.0011
18,2000-01-27,0.989
19,2000-01-28,0.9765
20,2000-01-31,0.9757
21,2000-02-01,0.9731
22,2000-02-02,0.9768
23,2000-02-03,0.9887
24,2000-02-04,0.976
25,2000-02-07,0.9783
26,2000-02-08,0.9862
27,2000-02-09,0.9914
28,2000-02-10,0.9865
29,2000-02-11,0.9847
30,2000-02-14,0.9783
31,2000-02-15,0.9834
32,2000-02-16,0.9842
33,2000-02-17,0.9863
34,2000-02-18,0.985
36,2000-02-22,1.006
37,2000-02-23,1.0017
38,2000-02-24,0.9931
39,2000-02-25,0.9763
40,2000-02-28,0.9669
41,2000-02-29,0.9643
42,2000-03-01,0.97
43,2000-03-02,0.9619
44,2000-03-03,0.9618
45,2000-03-06,0.9603
46,2000-03-07,0.956
47,2000-03-08,0.9576
48,2000-03-09,0.9684
49,2000-03-10,0.9659
50,2000-03-13,0.9648
51,2000-03-14,0.9644
52,2000-03-15,0.9696
53,2000-03-16,0.971
54,2000-03-17,0.9694
55,2000-03-20,0.971
56,2000-03-21,0.9703
57,2000-03-22,0.9608
58,2000-03-23,0.9691
59,2000-03-24,0.9724
60,2000-03-27,0.9645
61,2000-03-28,0.9614
62,2000-03-29,0.9524
63,2000-03-30,0.9594
64,2000-03-31,0.9574
65,2000-04-03,0.956
66,2000-04-04,0.9588
67,2000-04-05,0.9647
68,2000-04-06,0.958
69,2000-04-07,0.959
70,2000-04-10,0.9588
71,2000-04-11,0.9591
72,2000-04-12,0.9551
73,2000-04-13,0.9524
74,2000-04-14,0.9564
75,2000-04-17,0.955
76,2000-04-18,0.9477
77,2000-04-19,0.9369
78,2000-04-20,0.9376
79,2000-04-21,0.9379
80,2000-04-24,0.9396
81,2000-04-25,0.9265
82,2000-04-26,0.9217
83,2000-04-27,0.9083
84,2000-04-28,0.9089
85,2000-05-01,0.912
86,2000-05-02,0.9068
87,2000-05-03,0.8891
88,2000-05-04,0.8907
89,2000-05-05,0.8953
90,2000-05-08,0.895
91,2000-05-09,0.9023
92,2000-05-10,0.9097
93,2000-05-11,0.9021
94,2000-05-12,0.908
95,2000-05-15,0.9138
96,2000-05-16,0.9053
97,2000-05-17,0.8921
98,2000-05-18,0.8952
99,2000-05-19,0.8946
100,2000-05-22,0.9036
101,2000-05-23,0.9032
102,2000-05-24,0.9096
103,2000-05-25,0.9072
104,2000-05-26,0.931
106,2000-05-30,0.9314
107,2000-05-31,0.9328
108,2000-06-01,0.9307
109,2000-06-02,0.9432
110,2000-06-05,0.9471
111,2000-06-06,0.957
112,2000-06-07,0.96
113,2000-06-08,0.9548
114,2000-06-09,0.9526
115,2000-06-12,0.9544
116,2000-06-13,0.9619
117,2000-06-14,0.959
118,2000-06-15,0.953
119,2000-06-16,0.9648
120,2000-06-19,0.9622
121,2000-06-20,0.9557
122,2000-06-21,0.9455
123,2000-06-22,0.9398
124,2000-06-23,0.9358
125,2000-06-26,0.9382
126,2000-06-27,0.9444
127,2000-06-28,0.9444
128,2000-06-29,0.9515
129,2000-06-30,0.9545
130,2000-07-03,0.9526
132,2000-07-05,0.9548
133,2000-07-06,0.9527
134,2000-07-07,0.9484
135,2000-07-10,0.9521
136,2000-07-11,0.9497
137,2000-07-12,0.9401
138,2000-07-13,0.9339
139,2000-07-14,0.9374
140,2000-07-17,0.9351
141,2000-07-18,0.9322
142,2000-07-19,0.9237
143,2000-07-20,0.9292
144,2000-07-21,0.9343
145,2000-07-24,0.9314
146,2000-07-25,0.9391
147,2000-07-26,0.9413
148,2000-07-27,0.9331
149,2000-07-28,0.9246
150,2000-07-31,0.9266
151,2000-08-01,0.9228
152,2000-08-02,0.9137
153,2000-08-03,0.9042
154,2000-08-04,0.9075
155,2000-08-07,0.9105
156,2000-08-08,0.9019
157,2000-08-09,0.8991
158,2000-08-10,0.9077
159,2000-08-11,0.9046
160,2000-08-14,0.9037
161,2000-08-15,0.9135
162,2000-08-16,0.9143
163,2000-08-17,0.9152
164,2000-08-18,0.9068
165,2000-08-21,0.9027
166,2000-08-22,0.8965
167,2000-08-23,0.8967
168,2000-08-24,0.9028
169,2000-08-25,0.9024
170,2000-08-28,0.9002
171,2000-08-29,0.8966
172,2000-08-30,0.8924
173,2000-08-31,0.8878
174,2000-09-01,0.8993
176,2000-09-05,0.8876
177,2000-09-06,0.8702
178,2000-09-07,0.874
179,2000-09-08,0.8664
180,2000-09-11,0.8624
181,2000-09-12,0.8596
182,2000-09-13,0.864
183,2000-09-14,0.8617
184,2000-09-15,0.8572
185,2000-09-18,0.8523
186,2000-09-19,0.8514
187,2000-09-20,0.8462
188,2000-09-21,0.8558
189,2000-09-22,0.8793
190,2000-09-25,0.8738
191,2000-09-26,0.8815
192,2000-09-27,0.8805
193,2000-09-28,0.8826
194,2000-09-29,0.8837
195,2000-10-02,0.8806
196,2000-10-03,0.8741
197,2000-10-04,0.8726
198,2000-10-05,0.8685
199,2000-10-06,0.868
201,2000-10-10,0.8682
202,2000-10-11,0.8715
203,2000-10-12,0.8644
204,2000-10-13,0.8568
205,2000-10-16,0.8489
206,2000-10-17,0.8507
207,2000-10-18,0.8391
208,2000-10-19,0.8406
209,2000-10-20,0.84
210,2000-10-23,0.8364
